avg_temp,average_rain_fall_mm_per_year,ph,yield_kg_per_ha
26.5,1083.0,6.8,3650.0
24.1,986.5,7.1,3370.0
26.85,890.0,6.4,2920.0
28.3,760.0,6.9,520.0
29.0,850.0,6.8,3500.0
31.0,620.0,7.1,2066.666666666667
28.0,920.0,6.5,3222.222222222222
30.0,450.0,7.0,2900.0
27.0,700.0,6.7,2777.777777777778
30.0,800.0,7.2,4750.0
22.0,350.0,7.5,3588.2352941176478
21.0,320.0,7.4,3687.5
32.0,500.0,7.3,2000.0
28.0,1200.0,6.4,3909.090909090909
27.0,780.0,6.6,3615.3846153846152
31.0,540.0,7.2,2080.0
29.0,980.0,6.5,3586.206896551724
29.0,760.0,7.1,4684.210526315789
30.0,650.0,6.9,2222.222222222222
